SEVERIDADE,PA_CODUNI,NUM_PACIENTES,NU_LATITUDE,NU_LONGITUDE
LEVE/MODERADA,2296616,392,-22.84086144750921,-43.23836803436279
LEVE/MODERADA,2384299,362,-25.4241557,-49.2641365
LEVE/MODERADA,6992560,302,-23.186,-46.884
LEVE/MODERADA,2010216,167,-9.78230320527787,-36.09454035758972
LEVE/MODERADA,2109441,164,-17.8677406,-41.5114325
LEVE/MODERADA,6959636,154,-20.284,-50.246
LEVE/MODERADA,2006197,146,-9.565592,-35.7776847
LEVE/MODERADA,2269295,121,-22.851,-43.326
LEVE/MODERADA,9372822,113,-17.53532725040354,-39.72527503967285
LEVE/MODERADA,2270420,89,-22.87498713,-43.46854739
LEVE/MODERADA,9516182,79,-13.368765156803406,-39.06561255455017
LEVE/MODERADA,9373845,78,-13.8682585,-40.0822256
LEVE/MODERADA,2753138,74,-25.593,-49.41
LEVE/MODERADA,2333201,70,-1.456,-48.504
LEVE/MODERADA,0027863,65,-19.817542246948534,-43.94853115081787
LEVE/MODERADA,2078015,61,-23.548,-46.636
LEVE/MODERADA,2233355,60,-32.009522,-52.041007
LEVE/MODERADA,2306344,60,-26.474846750356217,-49.08223628997803
LEVE/MODERADA,2552760,58,-26.9088597,-49.0470784
LEVE/MODERADA,5130794,58,-19.748,-47.932
LEVE/MODERADA,2493853,57,-8.7598243,-63.86130600000001
LEVE/MODERADA,2512688,57,-26.93405705,-49.13107695713396
LEVE/MODERADA,2195437,55,-21.11941277805941,-42.94304609298706
LEVE/MODERADA,2062666,54,-21.70529321027166,-47.27307289838791
LEVE/MODERADA,2016672,50,-4.372,-70.192
LEVE/MODERADA,2069008,45,-23.548,-46.636
LEVE/MODERADA,2784602,44,-23.09,-47.218
LEVE/MODERADA,9442642,44,-22.018,-47.891
LEVE/MODERADA,2246988,42,-28.26044721528277,-52.41347551345825
LEVE/MODERADA,5120349,41,-19.748,-47.932
LEVE/MODERADA,2081253,40,-22.357636821428184,-47.38002061843872
LEVE/MODERADA,7877447,40,-27.538385,-48.5091517
LEVE/MODERADA,2165309,38,-19.748,-47.932
LEVE/MODERADA,2403331,38,-20.34,-41.135
LEVE/MODERADA,2081458,37,-22.57932282648805,-47.40042686462402
LEVE/MODERADA,2246996,35,-28.257315,-52.393838
LEVE/MODERADA,2012650,34,-3.1198403438343347,-60.00552177429199
LEVE/MODERADA,5585147,33,-21.70944488258244,-47.289013266563416
LEVE/MODERADA,2082926,32,-23.6246178,-45.4182381
LEVE/MODERADA,2708213,32,-22.903,-43.208
LEVE/MODERADA,3089657,31,-21.75867766651122,-48.15854251384735
LEVE/MODERADA,2786451,30,-23.2134783,-49.0162515
LEVE/MODERADA,3500179,28,-3.0059059,-59.974994
LEVE/MODERADA,6546463,28,-23.549,-46.934
LEVE/MODERADA,0021768,26,-20.4524106,-54.6092178
LEVE/MODERADA,2791692,26,-22.362498674853338,-48.3817720413208
LEVE/MODERADA,6568971,25,-20.901779,-51.3866534
LEVE/MODERADA,6669727,25,-20.539,-47.401
LEVE/MODERADA,2291274,24,-22.90071,-43.20036
LEVE/MODERADA,2749076,24,-21.690021202933938,-47.27392315864563
LEVE/MODERADA,5413451,24,-25.306418217124342,-54.08013582229614
LEVE/MODERADA,2165201,23,-19.748,-47.932
LEVE/MODERADA,2193310,23,-19.45898,-42.562507
LEVE/MODERADA,2228653,23,-27.19393404566795,-53.256869316101074
LEVE/MODERADA,2814455,23,-23.179,-45.887
LEVE/MODERADA,6873960,23,-22.3228,-43.1229
LEVE/MODERADA,7496117,23,-23.307,-47.2729
LEVE/MODERADA,9837841,23,-9.447040417021618,-38.22039484977722
LEVE/MODERADA,2058278,22,-21.171,-48.629
LEVE/MODERADA,4044916,22,-20.3001095,-40.3203982
LEVE/MODERADA,7336551,22,-8.784441834080637,-63.856637477874756
LEVE/MODERADA,2077256,21,-23.389,-48.723
LEVE/MODERADA,2262274,21,-28.284,-52.786
LEVE/MODERADA,2311607,21,-10.468663,-50.512878
LEVE/MODERADA,2754878,21,-22.6004911,-48.8098841
LEVE/MODERADA,6479146,21,-22.411,-47.561
LEVE/MODERADA,2025299,20,-21.3646513,-48.2293717
LEVE/MODERADA,2082187,20,-21.163272212877125,-47.85192847251892
LEVE/MODERADA,2552841,20,-26.8963625,-49.0724388051813
LEVE/MODERADA,2708426,20,-22.9213,-43.18926
LEVE/MODERADA,5995280,20,-25.5792361,-49.3928938
LEVE/MODERADA,6048692,20,-26.304,-48.846
LEVE/MODERADA,7286082,20,-27.1105879,-52.62601
LEVE/MODERADA,2559404,19,-20.4579999,-54.595203
LEVE/MODERADA,2655411,19,-15.596,-56.097
LEVE/MODERADA,5585031,19,-21.70957944858865,-47.26687967777252
LEVE/MODERADA,6568459,19,-21.2745,-47.51
LEVE/MODERADA,0003816,18,-12.993123786204201,-38.52022022008896
LEVE/MODERADA,2536366,18,-17.88128972121417,-51.71408414840698
LEVE/MODERADA,2026805,17,-21.364809955273444,-48.22701930999756
LEVE/MODERADA,2262568,17,-29.9863123,-51.1647657
LEVE/MODERADA,5215269,17,-27.585543,-48.582765
LEVE/MODERADA,9005668,17,-21.71374594858693,-47.2767448425293
LEVE/MODERADA,9866035,17,-14.8803242,-40.8498552
LEVE/MODERADA,0011800,16,-20.319,-40.338
LEVE/MODERADA,4013441,16,-5.795,-35.209
LEVE/MODERADA,6657516,16,-23.155,-47.1756
LEVE/MODERADA,6895263,16,-21.969,-46.798
LEVE/MODERADA,7560435,16,-24.7177716,-47.8814027
LEVE/MODERADA,2077396,15,-20.82,-49.379
LEVE/MODERADA,2269953,15,-22.92497,-43.20895
LEVE/MODERADA,2506661,15,-16.72725905196798,-49.246312379837036
LEVE/MODERADA,9507930,15,-12.273921519744754,-38.93820762634277
LEVE/MODERADA,2069776,14,-23.7176581,-46.558269
LEVE/MODERADA,2078074,14,-22.1900807,-47.3919952813079
LEVE/MODERADA,2233371,14,-31.299106490698062,-52.15827941894531
LEVE/MODERADA,2639637,14,-25.431889807551343,-49.27595710000003
LEVE/MODERADA,6359620,14,-22.3298106,-49.0784531
LEVE/MODERADA,2592746,13,-7.1233101,-34.9819924
LEVE/MODERADA,6028233,13,-22.92559,-43.21485
LEVE/MODERADA,2046954,12,-21.773728168722666,-48.20746600627899
LEVE/MODERADA,2164884,12,-19.748,-47.932
LEVE/MODERADA,2245213,12,-28.2549441,-52.4172627
LEVE/MODERADA,2510987,12,-26.252422047713566,-49.51781630516052
LEVE/MODERADA,3038467,12,-20.31948607321372,-40.35379707813263
LEVE/MODERADA,6365213,12,-20.269,-50.546
LEVE/MODERADA,9949763,12,-12.8253623,-38.4006643
LEVE/MODERADA,2237881,11,-30.02213803127762,-51.154189109802246
LEVE/MODERADA,2273179,11,-22.847,-43.378
LEVE/MODERADA,2295415,11,-22.9154,-43.2208
LEVE/MODERADA,2557819,11,-27.003601,-51.1402887
LEVE/MODERADA,5587956,11,-25.42650150754953,-49.27724850000004
LEVE/MODERADA,6950175,11,-24.952689,-53.461973
LEVE/MODERADA,7418094,11,-21.7793108,-48.1224585
LEVE/MODERADA,0048305,10,-14.08,-46.346
LEVE/MODERADA,2011735,10,-3.11339582669266,-59.9832570267885
LEVE/MODERADA,2058790,10,-22.7418646,-47.30881703396477
LEVE/MODERADA,2215586,10,-19.619,-43.227
LEVE/MODERADA,2237601,10,-30.03261588823629,-51.22982740402222
LEVE/MODERADA,2280191,10,-22.9187205,-43.6871124
LEVE/MODERADA,2298120,10,-22.86676436383792,-43.441786766052246
LEVE/MODERADA,2702398,10,-26.72309281585574,-48.930230140686035
LEVE/MODERADA,2755742,10,-7.115,-34.863
LEVE/MODERADA,2790602,10,-22.315,-49.061
LEVE/MODERADA,3092402,10,-21.815882088778178,-48.140233755111694
LEVE/MODERADA,6212581,10,-22.754,-47.414
LEVE/MODERADA,9080163,10,-22.91455,-43.20121
LEVE/MODERADA,2165082,9,-19.748,-47.932
LEVE/MODERADA,2269937,9,-22.877,-43.337
LEVE/MODERADA,2270250,9,-22.89978,-43.22256
LEVE/MODERADA,2280167,9,-22.842443446478057,-43.23738098144531
LEVE/MODERADA,2512548,9,-26.9267586,-49.0617524
LEVE/MODERADA,2653818,9,-16.669906484372973,-49.20707702636719
LEVE/MODERADA,2695251,9,-1.302762204,-48.487929134
LEVE/MODERADA,2701391,9,-23.186,-46.884
LEVE/MODERADA,6762794,9,-2.2422129,-49.500848
LEVE/MODERADA,7021801,9,-23.523,-46.188
LEVE/MODERADA,9507949,9,-12.14864425119353,-38.423341512680054
LEVE/MODERADA,0009318,8,-23.2369522,-45.9091803319482
LEVE/MODERADA,0015466,8,-25.4304321,-49.2597004
LEVE/MODERADA,2079798,8,-22.906,-47.061
LEVE/MODERADA,2092611,8,-20.3256382,-48.3094592
LEVE/MODERADA,2193183,8,-19.46364858552267,-42.55653440952301
LEVE/MODERADA,2205440,8,-19.496577,-42.538291
LEVE/MODERADA,2244306,8,-29.684,-53.807
LEVE/MODERADA,2277298,8,-22.87595,-43.22247
LEVE/MODERADA,2332981,8,-1.456,-48.504
LEVE/MODERADA,2418398,8,-27.645,-48.668
LEVE/MODERADA,2512882,8,-26.898,-49.232
LEVE/MODERADA,2678179,8,-20.33,-40.292
LEVE/MODERADA,2749084,8,-21.534407885599745,-47.19846725463867
LEVE/MODERADA,3314766,8,-21.2031169,-47.7796662
LEVE/MODERADA,6294049,8,-23.179,-45.887
LEVE/MODERADA,7058616,8,-26.725,-53.518
LEVE/MODERADA,0015563,7,-25.443911613564815,-49.276393353939056
LEVE/MODERADA,2053314,7,-20.530335022164813,-48.55753183364868
LEVE/MODERADA,2074052,7,-21.7845081603235,-48.13460111618042
LEVE/MODERADA,2085062,7,-23.305,-45.966
LEVE/MODERADA,2250802,7,-27.989,-54.839
LEVE/MODERADA,2446030,7,-19.539,-40.631
LEVE/MODERADA,2757222,7,-1.30162178814519,-48.4872274632889
LEVE/MODERADA,2760452,7,-21.5721809,-45.4396873
LEVE/MODERADA,5908418,7,-27.609397679914583,-48.62680792808533
LEVE/MODERADA,6427286,7,-19.92262,-43.95548
LEVE/MODERADA,6607330,7,-21.935,-50.514
LEVE/MODERADA,6737498,7,-19.986,-44.428
LEVE/MODERADA,7033702,7,-20.339,-47.781
LEVE/MODERADA,7523246,7,-22.89725,-43.19661
LEVE/MODERADA,7690649,7,-18.8926381,-48.3072896
LEVE/MODERADA,0301337,6,-3.823183,-38.535741
LEVE/MODERADA,2017652,6,-3.8268653,-60.3643949
LEVE/MODERADA,2040050,6,-23.2841071,-47.2911548
LEVE/MODERADA,2071487,6,-21.483,-51.533
LEVE/MODERADA,2080273,6,-23.664,-46.538
LEVE/MODERADA,2080338,6,-23.463,-46.533
LEVE/MODERADA,2082497,6,-23.01708151356433,-49.474074840545654
LEVE/MODERADA,2168243,6,-19.9448253,-43.4796245
LEVE/MODERADA,2201763,6,-19.748,-47.932
LEVE/MODERADA,2219646,6,-16.716994197975687,-43.85847330093384
LEVE/MODERADA,2236567,6,-29.171,-51.519
LEVE/MODERADA,2313057,6,-1.4069963791118574,-51.648133993148804
LEVE/MODERADA,2336545,6,-26.931032976708092,-49.06301021575928
LEVE/MODERADA,2399180,6,-7.1248025,-34.8805356
LEVE/MODERADA,2522411,6,-27.124516339435807,-48.92182946205139
LEVE/MODERADA,2528754,6,-3.745877,-38.552608
LEVE/MODERADA,2552868,6,-26.913335748577627,-49.075278639793396
LEVE/MODERADA,2748223,6,-22.886,-48.445
LEVE/MODERADA,2757761,6,-7.122652,-34.871555
LEVE/MODERADA,2773589,6,-23.523,-46.188
LEVE/MODERADA,5230241,6,-28.7325315,-51.7041049
LEVE/MODERADA,5711207,6,-19.748,-47.932
LEVE/MODERADA,6023975,6,-22.9014,-43.243
LEVE/MODERADA,6432530,6,-23.548,-46.636
LEVE/MODERADA,6655416,6,-23.664,-46.538
LEVE/MODERADA,7209517,6,-22.662,-50.412
LEVE/MODERADA,7657358,6,-1.4566419716446453,-48.50346386432648
LEVE/MODERADA,7905025,6,-21.74705865564165,-48.13930571079254
LEVE/MODERADA,9057706,6,-22.90158,-43.22438
LEVE/MODERADA,0026859,5,-19.922993767557013,-43.95754337310791
LEVE/MODERADA,2074044,5,-21.7774676,-48.1776417
LEVE/MODERADA,2084414,5,-21.167774499779597,-47.80600905418396
LEVE/MODERADA,2164760,5,-19.748,-47.932
LEVE/MODERADA,2232014,5,-29.926667,-51.161389
LEVE/MODERADA,2270048,5,-22.870285,-43.457574
LEVE/MODERADA,2273063,5,-22.893680368114346,-43.121724128723145
LEVE/MODERADA,2394324,5,-13.721,-59.259
LEVE/MODERADA,2701308,5,-23.186,-46.884
LEVE/MODERADA,2714132,5,-7.877750550015028,-35.44294595718384
LEVE/MODERADA,2790734,5,-22.315,-49.061
LEVE/MODERADA,4048571,5,-24.01156915,-46.4263465225651
LEVE/MODERADA,5618401,5,-20.423,-49.973
LEVE/MODERADA,9039899,5,-19.748,-47.932
LEVE/MODERADA,9079939,5,-22.88823,-43.23516
LEVE/MODERADA,0009709,4,-20.499085,-54.616465
LEVE/MODERADA,0010030,4,-20.4527796,-54.6138989
LEVE/MODERADA,0010510,4,-15.771759644433159,-47.87372410297394
LEVE/MODERADA,2079720,4,-23.963342526353117,-46.31955564022064
LEVE/MODERADA,2081164,4,-21.170185668214806,-47.80299425125122
LEVE/MODERADA,2081377,4,-20.423,-49.973
LEVE/MODERADA,2098911,4,-21.393343034608588,-42.69188404083252
LEVE/MODERADA,2164841,4,-19.748,-47.932
LEVE/MODERADA,2164965,4,-19.748,-47.932
LEVE/MODERADA,2237253,4,-30.033,-51.23
LEVE/MODERADA,2254964,4,-29.720222010476743,-52.426886558532715
LEVE/MODERADA,2261057,4,-28.3934461,-53.9095682
LEVE/MODERADA,2269511,4,-22.903,-43.208
LEVE/MODERADA,2295407,4,-22.90810855,-43.56244414383204
LEVE/MODERADA,2361949,4,-15.757,-49.334
LEVE/MODERADA,2492342,4,-26.473,-49.003
LEVE/MODERADA,2561492,4,-3.74873355,-38.55188272252229
LEVE/MODERADA,2692570,4,-27.600345,-48.471628
LEVE/MODERADA,2749068,4,-21.69675025694936,-47.25838780403137
LEVE/MODERADA,2772310,4,-22.725,-47.649
LEVE/MODERADA,2773597,4,-23.547738,-46.2559576728612
LEVE/MODERADA,3771016,4,-29.171,-51.519
LEVE/MODERADA,5662583,4,-21.7562546,-41.3241216
LEVE/MODERADA,6423086,4,-23.548,-46.636
LEVE/MODERADA,6601804,4,-18.9516568,-48.247374
LEVE/MODERADA,6604862,4,-23.987879775711274,-48.87660205364227
LEVE/MODERADA,6752233,4,-20.557,-48.568
LEVE/MODERADA,7298293,4,-23.39609883765995,-46.3228976726532
LEVE/MODERADA,7316496,4,-7.150004,-34.839896
LEVE/MODERADA,7559461,4,-23.5219628,-46.1796754
LEVE/MODERADA,9384553,4,-11.292094755238455,-41.83900594711304
LEVE/MODERADA,0000396,3,-8.047565542943888,-34.94609087705612
LEVE/MODERADA,0009350,3,-23.179,-45.887
LEVE/MODERADA,0010456,3,-15.800653,-47.888283
LEVE/MODERADA,0011738,3,-20.319,-40.338
LEVE/MODERADA,2009242,3,-9.133,-35.748
